name,avg,x,y
菜户营,100.91167631719203,116.352795,39.876322
北京南站,95.51964254880906,116.385671,39.871141
方庄,102.44423673010546,116.435276,39.871564
广安门,131.41729999852103,116.364717,39.895218
丰台其它,59.59449002308734,116.311853,39.856389
看丹桥,79.2709057640397,116.292941,39.844982
刘家窑,97.42451995687556,116.426803,39.862444
六里桥,94.2443203351728,116.309357,39.886239
卢沟桥,57.48394246188579,116.226288,39.85603
鲁谷,85.69234116023402,116.247277,39.909791
八角,77.50612065958515,116.219395,39.913076
西红门,63.14591429812403,116.355422,39.795677
南中轴机场商务区,39.01376995291265,116.404008,39.862165
天宫院,59.01714175648146,116.328733,39.685014
黄村中,57.2453791889148,116.347587,39.741433
黄村火车站,54.127384505126855,116.338216,39.725999
科技园区,84.43807587790624,116.310298,40.052059
和义,62.68392207411314,116.412166,39.81981
旧宫,62.564437043478144,116.455023,39.812112
义和庄,66.07632867155371,116.326295,39.720942
新宫,77.17768377232991,116.369777,39.819836
万源,64.8008865246821,116.511997,39.80917
瀛海,63.38688842445483,116.455649,39.766582
枣园,58.36771435119349,116.333834,39.756806
古城,87.09726240639118,116.191307,39.917862
老山,84.27817296657578,116.231188,39.920565
小汤山,63.56471821855703,116.435856,40.16293
西关环岛,48.766475982427245,116.228966,40.229653
西三旗,83.85290572503698,116.353424,40.063863
南口,35.783635462247624,116.135332,40.245607
昌平其它,64.64016906160627,116.239309,40.226442
霍营,74.15265826349977,116.375017,40.084754
立水桥,88.811368959176,116.418538,40.053588
东关,52.89709898990676,115.984844,40.464637
天通苑,67.16274810504383,116.419385,40.089597
北七家,53.80171941184439,116.430772,40.123909
万达,68.77161796047784,116.636247,40.323095
奥林匹克公园,98.06931318770697,116.396797,40.025231
回龙观,81.36950741394593,116.333564,40.083268
鼓楼大街,56.8233874057487,116.402302,39.9464
南邵,63.55080606827757,116.292423,40.214384
沙河,63.85853558475831,116.276795,40.148154
高米店,65.76242421555642,116.350173,39.770064
大兴新机场,42.73799720245276,116.35491,39.852702
大兴机场空港,21.791111285416136,116.333662,39.528274
观音寺,41.68316081760871,116.355485,39.732292
通州北苑,64.59066670894434,116.646918,39.907054
武夷花园,60.59762070034442,116.706089,39.923221
果园,64.18988766574113,116.653045,39.89966
梨园,58.53117484958216,116.670763,39.884096
燕山,35.28146685750054,115.979985,39.72533
阎村,36.230350510807725,116.086795,39.722534
琉璃河,18.74765654293213,116.035205,39.608854
房山其它,39.508375576206376,115.996498,39.711862
北关,74.89220325409788,116.659029,39.928035
良乡,52.02248213916917,116.182872,39.729499
大兴其它,46.39770998868229,116.371723,39.740347
窦店,28.120631458406116,116.074436,39.658006
城关,28.7954542964476,115.990869,39.705332
大兴新机场洋房别墅区,30.15280997752471,116.508257,39.805262
潞苑,51.01263767239048,116.685414,39.941314
九棵树(家乐福),61.9570791981871,116.663997,39.895974
临河里,58.30194583154504,116.692795,39.882856
乔庄,51.0523942729211,116.695053,39.903016
长阳,57.38750802060006,116.22355,39.77181
